term,odds_ratio,or_ci_low,or_ci_high,p_value,ame,ame_ci_low,ame_ci_high,ame_p
pain_ownership[T.True],1.7660832151085892,1.3170889734096338,2.368139120179409,0.00014456782474336997,12.006349801258045,5.990514197455736,18.022185405060352,9.165697557900697e-05
"C(modeling_cat, Treatment(reference='Mixed'))[T.Ad-hoc]",1.736580269021642,1.144138877342145,2.6357910656447836,0.009529569131912524,11.650729979024192,2.961181288423652,20.340278669624727,0.008592114587740488
"C(org_size)[T.10,000+]",0.5435723365059936,0.3545015873753565,0.8334825443298568,0.005187843891295632,-12.8682156163945,-21.749652511758452,-3.9867787210305456,0.004514605399435251
"C(bottleneck_type, Treatment(reference='Technical'))[T.Organizational]",1.2364431041806498,0.9199138134573701,1.6618856326660945,0.15951698380924628,4.480262816391186,-1.7370358371918053,10.697561469974179,0.1578397356638659
